                       	strtok
Length   30/2, alignment  9/ 3, found:	203.951
Length   30/2, alignment  9/ 3, fail:	187.558
Length   30/2, alignment  9/ 9, found:	194.022
Length   30/2, alignment  9/ 9, fail:	196.588
Length   30/2, alignment  9/15, found:	193.108
Length   30/2, alignment  9/15, fail:	187.94
Length   30/2, alignment 15/ 0, found:	193.098
Length   30/2, alignment 15/ 0, fail:	186.893
Length   30/2, alignment 15/ 3, found:	193.137
Length   30/2, alignment 15/ 3, fail:	195.328
Length   30/2, alignment 15/ 9, found:	193.117
Length   30/2, alignment 15/ 9, fail:	186.951
Length   30/2, alignment 15/15, found:	193.071
Length   30/2, alignment 15/15, fail:	193.716
Length    6/3, alignment  0/ 0, found:	186.504
Length    6/3, alignment  0/ 0, fail:	194.987
Length    6/3, alignment  0/ 3, found:	188.018
Length    6/3, alignment  0/ 3, fail:	187.201
Length    6/3, alignment  0/ 9, found:	186.273
Length    6/3, alignment  0/ 9, fail:	193.162
Length    6/3, alignment  0/15, found:	186.313
Length    6/3, alignment  0/15, fail:	194.498
Length    6/3, alignment  3/ 0, found:	186.24
Length    6/3, alignment  3/ 0, fail:	187.149
Length    6/3, alignment  3/ 3, found:	186.255
Length    6/3, alignment  3/ 3, fail:	192.455
Length    6/3, alignment  3/ 9, found:	186.268
Length    6/3, alignment  3/ 9, fail:	192.145
Length    6/3, alignment  3/15, found:	193.993
Length    6/3, alignment  3/15, fail:	187.181
Length    6/3, alignment  9/ 0, found:	186.516
Length    6/3, alignment  9/ 0, fail:	194.715
Length    6/3, alignment  9/ 3, found:	186.258
Length    6/3, alignment  9/ 3, fail:	187.146
Length    6/3, alignment  9/ 9, found:	193.856
Length    6/3, alignment  9/ 9, fail:	187.164
Length    6/3, alignment  9/15, found:	186.234
Length    6/3, alignment  9/15, fail:	187.322
Length    6/3, alignment 15/ 0, found:	192.076
Length    6/3, alignment 15/ 0, fail:	187.186
Length    6/3, alignment 15/ 3, found:	193.691
Length    6/3, alignment 15/ 3, fail:	187.188
Length    6/3, alignment 15/ 9, found:	186.24
Length    6/3, alignment 15/ 9, fail:	187.209
Length    6/3, alignment 15/15, found:	192.336
Length    6/3, alignment 15/15, fail:	198.334
Length    9/3, alignment  0/ 0, found:	197.364
Length    9/3, alignment  0/ 0, fail:	188.226
Length    9/3, alignment  0/ 3, found:	187.406
Length    9/3, alignment  0/ 3, fail:	199.992
Length    9/3, alignment  0/ 9, found:	195.619
Length    9/3, alignment  0/ 9, fail:	187.803
Length    9/3, alignment  0/15, found:	187.175
Length    9/3, alignment  0/15, fail:	197.506
Length    9/3, alignment  3/ 0, found:	187.018
Length    9/3, alignment  3/ 0, fail:	187.842
Length    9/3, alignment  3/ 3, found:	193.242
Length    9/3, alignment  3/ 3, fail:	187.808
Length    9/3, alignment  3/ 9, found:	187.195
Length    9/3, alignment  3/ 9, fail:	196.248
Length    9/3, alignment  3/15, found:	187.193
Length    9/3, alignment  3/15, fail:	187.935
Length    9/3, alignment  9/ 0, found:	215.725
Length    9/3, alignment  9/ 0, fail:	187.839
Length    9/3, alignment  9/ 3, found:	187.188
Length    9/3, alignment  9/ 3, fail:	198.169
Length    9/3, alignment  9/ 9, found:	187.109
Length    9/3, alignment  9/ 9, fail:	187.995
Length    9/3, alignment  9/15, found:	187.134
Length    9/3, alignment  9/15, fail:	195.453
Length    9/3, alignment 15/ 0, found:	187.124
Length    9/3, alignment 15/ 0, fail:	195.883
Length    9/3, alignment 15/ 3, found:	187.038
Length    9/3, alignment 15/ 3, fail:	187.804
Length    9/3, alignment 15/ 9, found:	187.187
Length    9/3, alignment 15/ 9, fail:	195.453
Length    9/3, alignment 15/15, found:	187.06
Length    9/3, alignment 15/15, fail:	195.458
Length   12/3, alignment  0/ 0, found:	188.334
Length   12/3, alignment  0/ 0, fail:	187.626
Length   12/3, alignment  0/ 3, found:	187.828
Length   12/3, alignment  0/ 3, fail:	193.887
Length   12/3, alignment  0/ 9, found:	189.278
Length   12/3, alignment  0/ 9, fail:	188.161
Length   12/3, alignment  0/15, found:	223.976
Length   12/3, alignment  0/15, fail:	187.346
Length   12/3, alignment  3/ 0, found:	188.311
Length   12/3, alignment  3/ 0, fail:	197.849
Length   12/3, alignment  3/ 3, found:	188.282
Length   12/3, alignment  3/ 3, fail:	206.23
Length   12/3, alignment  3/ 9, found:	214.283
Length   12/3, alignment  3/ 9, fail:	187.482
Length   12/3, alignment  3/15, found:	187.562
Length   12/3, alignment  3/15, fail:	199.708
Length   12/3, alignment  9/ 0, found:	188.1
Length   12/3, alignment  9/ 0, fail:	187.288
Length   12/3, alignment  9/ 3, found:	198.73
Length   12/3, alignment  9/ 3, fail:	187.247
Length   12/3, alignment  9/ 9, found:	188.155
Length   12/3, alignment  9/ 9, fail:	194.31
Length   12/3, alignment  9/15, found:	188.14
Length   12/3, alignment  9/15, fail:	187.171
Length   12/3, alignment 15/ 0, found:	195.928
Length   12/3, alignment 15/ 0, fail:	187.152
Length   12/3, alignment 15/ 3, found:	188.173
Length   12/3, alignment 15/ 3, fail:	187.506
Length   12/3, alignment 15/ 9, found:	188.083
Length   12/3, alignment 15/ 9, fail:	187.198
Length   12/3, alignment 15/15, found:	195.668
Length   12/3, alignment 15/15, fail:	187.125
Length   15/3, alignment  0/ 0, found:	187.171
Length   15/3, alignment  0/ 0, fail:	189.171
Length   15/3, alignment  0/ 3, found:	192.624
Length   15/3, alignment  0/ 3, fail:	188.937
Length   15/3, alignment  0/ 9, found:	194.079
Length   15/3, alignment  0/ 9, fail:	188.721
Length   15/3, alignment  0/15, found:	186.875
Length   15/3, alignment  0/15, fail:	188.904
Length   15/3, alignment  3/ 0, found:	192.549
Length   15/3, alignment  3/ 0, fail:	188.941
Length   15/3, alignment  3/ 3, found:	186.938
Length   15/3, alignment  3/ 3, fail:	188.992
Length   15/3, alignment  3/ 9, found:	186.804
Length   15/3, alignment  3/ 9, fail:	188.861
Length   15/3, alignment  3/15, found:	195.48
Length   15/3, alignment  3/15, fail:	188.929
Length   15/3, alignment  9/ 0, found:	187.022
Length   15/3, alignment  9/ 0, fail:	196.441
Length   15/3, alignment  9/ 3, found:	186.974
Length   15/3, alignment  9/ 3, fail:	189.072
Length   15/3, alignment  9/ 9, found:	192.952
Length   15/3, alignment  9/ 9, fail:	188.872
Length   15/3, alignment  9/15, found:	186.879
Length   15/3, alignment  9/15, fail:	196.397
Length   15/3, alignment 15/ 0, found:	186.818
Length   15/3, alignment 15/ 0, fail:	188.863
Length   15/3, alignment 15/ 3, found:	186.844
Length   15/3, alignment 15/ 3, fail:	194.526
Length   15/3, alignment 15/ 9, found:	186.829
Length   15/3, alignment 15/ 9, fail:	196.56
Length   15/3, alignment 15/15, found:	186.818
Length   15/3, alignment 15/15, fail:	188.896
Length   18/3, alignment  0/ 0, found:	187.878
Length   18/3, alignment  0/ 0, fail:	196.067
Length   18/3, alignment  0/ 3, found:	187.598
Length   18/3, alignment  0/ 3, fail:	197.343
Length   18/3, alignment  0/ 9, found:	187.594
Length   18/3, alignment  0/ 9, fail:	189.99
