                       	strtok
Length  136/17, alignment 15/ 3, found:	283.504
Length  136/17, alignment 15/ 3, fail:	295.425
Length  136/17, alignment 15/ 9, found:	282.621
Length  136/17, alignment 15/ 9, fail:	294.116
Length  136/17, alignment 15/15, found:	284.984
Length  136/17, alignment 15/15, fail:	292.133
Length  153/17, alignment  0/ 0, found:	332.124
Length  153/17, alignment  0/ 0, fail:	343.719
Length  153/17, alignment  0/ 3, found:	349.247
Length  153/17, alignment  0/ 3, fail:	338.976
Length  153/17, alignment  0/ 9, found:	336.517
Length  153/17, alignment  0/ 9, fail:	350.501
Length  153/17, alignment  0/15, found:	350.872
Length  153/17, alignment  0/15, fail:	335.842
Length  153/17, alignment  3/ 0, found:	353.308
Length  153/17, alignment  3/ 0, fail:	361.337
Length  153/17, alignment  3/ 3, found:	339.626
Length  153/17, alignment  3/ 3, fail:	364.401
Length  153/17, alignment  3/ 9, found:	338.101
Length  153/17, alignment  3/ 9, fail:	366.95
Length  153/17, alignment  3/15, found:	335.361
Length  153/17, alignment  3/15, fail:	359.649
Length  153/17, alignment  9/ 0, found:	345.072
Length  153/17, alignment  9/ 0, fail:	332.568
Length  153/17, alignment  9/ 3, found:	341.838
Length  153/17, alignment  9/ 3, fail:	333.507
Length  153/17, alignment  9/ 9, found:	332.725
Length  153/17, alignment  9/ 9, fail:	332.436
Length  153/17, alignment  9/15, found:	351.752
Length  153/17, alignment  9/15, fail:	342.345
Length  153/17, alignment 15/ 0, found:	332.168
Length  153/17, alignment 15/ 0, fail:	345.716
Length  153/17, alignment 15/ 3, found:	333.054
Length  153/17, alignment 15/ 3, fail:	376.258
Length  153/17, alignment 15/ 9, found:	332.79
Length  153/17, alignment 15/ 9, fail:	343.266
Length  153/17, alignment 15/15, found:	343.351
Length  153/17, alignment 15/15, fail:	331.938
Length  170/17, alignment  0/ 0, found:	328.62
Length  170/17, alignment  0/ 0, fail:	319.098
Length  170/17, alignment  0/ 3, found:	327.995
Length  170/17, alignment  0/ 3, fail:	319.526
Length  170/17, alignment  0/ 9, found:	339.348
Length  170/17, alignment  0/ 9, fail:	330.506
Length  170/17, alignment  0/15, found:	317.249
Length  170/17, alignment  0/15, fail:	332.916
Length  170/17, alignment  3/ 0, found:	319.667
Length  170/17, alignment  3/ 0, fail:	327.779
Length  170/17, alignment  3/ 3, found:	317.066
Length  170/17, alignment  3/ 3, fail:	333.564
Length  170/17, alignment  3/ 9, found:	316.935
Length  170/17, alignment  3/ 9, fail:	317.133
Length  170/17, alignment  3/15, found:	316.57
Length  170/17, alignment  3/15, fail:	329.404
Length  170/17, alignment  9/ 0, found:	328.888
Length  170/17, alignment  9/ 0, fail:	317.3
Length  170/17, alignment  9/ 3, found:	390.067
Length  170/17, alignment  9/ 3, fail:	317.736
Length  170/17, alignment  9/ 9, found:	337.431
Length  170/17, alignment  9/ 9, fail:	317.41
Length  170/17, alignment  9/15, found:	329.102
Length  170/17, alignment  9/15, fail:	327.229
Length  170/17, alignment 15/ 0, found:	315.896
Length  170/17, alignment 15/ 0, fail:	318.151
Length  170/17, alignment 15/ 3, found:	323.649
Length  170/17, alignment 15/ 3, fail:	326.657
Length  170/17, alignment 15/ 9, found:	316.209
Length  170/17, alignment 15/ 9, fail:	325.423
Length  170/17, alignment 15/15, found:	316.218
Length  170/17, alignment 15/15, fail:	326.311
Length  187/17, alignment  0/ 0, found:	332.295
Length  187/17, alignment  0/ 0, fail:	339.953
Length  187/17, alignment  0/ 3, found:	340.725
Length  187/17, alignment  0/ 3, fail:	334.163
Length  187/17, alignment  0/ 9, found:	331.219
Length  187/17, alignment  0/ 9, fail:	334.798
Length  187/17, alignment  0/15, found:	339.505
Length  187/17, alignment  0/15, fail:	333.781
Length  187/17, alignment  3/ 0, found:	339.448
Length  187/17, alignment  3/ 0, fail:	340.74
Length  187/17, alignment  3/ 3, found:	333.814
Length  187/17, alignment  3/ 3, fail:	335.652
Length  187/17, alignment  3/ 9, found:	337.538
Length  187/17, alignment  3/ 9, fail:	344.206
Length  187/17, alignment  3/15, found:	331.167
Length  187/17, alignment  3/15, fail:	340.705
Length  187/17, alignment  9/ 0, found:	341.924
Length  187/17, alignment  9/ 0, fail:	338.574
Length  187/17, alignment  9/ 3, found:	335.549
Length  187/17, alignment  9/ 3, fail:	342.841
Length  187/17, alignment  9/ 9, found:	351.146
Length  187/17, alignment  9/ 9, fail:	338.319
Length  187/17, alignment  9/15, found:	346.518
Length  187/17, alignment  9/15, fail:	359.7
Length  187/17, alignment 15/ 0, found:	333.389
Length  187/17, alignment 15/ 0, fail:	334.357
Length  187/17, alignment 15/ 3, found:	349.216
Length  187/17, alignment 15/ 3, fail:	346.153
Length  187/17, alignment 15/ 9, found:	333.02
Length  187/17, alignment 15/ 9, fail:	342.523
Length  187/17, alignment 15/15, found:	343.518
Length  187/17, alignment 15/15, fail:	335.296
Length  204/17, alignment  0/ 0, found:	353.114
Length  204/17, alignment  0/ 0, fail:	353.111
Length  204/17, alignment  0/ 3, found:	361.156
Length  204/17, alignment  0/ 3, fail:	353.16
Length  204/17, alignment  0/ 9, found:	359.298
Length  204/17, alignment  0/ 9, fail:	370.112
Length  204/17, alignment  0/15, found:	352.178
Length  204/17, alignment  0/15, fail:	359.636
Length  204/17, alignment  3/ 0, found:	361.741
Length  204/17, alignment  3/ 0, fail:	354.823
Length  204/17, alignment  3/ 3, found:	352.93
Length  204/17, alignment  3/ 3, fail:	360.476
Length  204/17, alignment  3/ 9, found:	359.816
Length  204/17, alignment  3/ 9, fail:	354.204
Length  204/17, alignment  3/15, found:	364.315
Length  204/17, alignment  3/15, fail:	366.188
Length  204/17, alignment  9/ 0, found:	357.952
Length  204/17, alignment  9/ 0, fail:	365.038
Length  204/17, alignment  9/ 3, found:	373.838
Length  204/17, alignment  9/ 3, fail:	360.354
Length  204/17, alignment  9/ 9, found:	369.532
Length  204/17, alignment  9/ 9, fail:	367.884
Length  204/17, alignment  9/15, found:	382.745
Length  204/17, alignment  9/15, fail:	356.752
Length  204/17, alignment 15/ 0, found:	365.018
Length  204/17, alignment 15/ 0, fail:	378.069
Length  204/17, alignment 15/ 3, found:	353.787
Length  204/17, alignment 15/ 3, fail:	364.78
Length  204/17, alignment 15/ 9, found:	369.291
Length  204/17, alignment 15/ 9, fail:	383.465
Length  204/17, alignment 15/15, found:	364.023
Length  204/17, alignment 15/15, fail:	368.753
Length  221/17, alignment  0/ 0, found:	370.642
Length  221/17, alignment  0/ 0, fail:	378.133
Length  221/17, alignment  0/ 3, found:	378.542
Length  221/17, alignment  0/ 3, fail:	369.914
Length  221/17, alignment  0/ 9, found:	376.273
Length  221/17, alignment  0/ 9, fail:	369.776
Length  221/17, alignment  0/15, found:	378.706
Length  221/17, alignment  0/15, fail:	371.226
Length  221/17, alignment  3/ 0, found:	375.829
Length  221/17, alignment  3/ 0, fail:	378.722
Length  221/17, alignment  3/ 3, found:	368.859
Length  221/17, alignment  3/ 3, fail:	378.399
Length  221/17, alignment  3/ 9, found:	378.097
Length  221/17, alignment  3/ 9, fail:	369.958
Length  221/17, alignment  3/15, found:	374.485
Length  221/17, alignment  3/15, fail:	377.579
Length  221/17, alignment  9/ 0, found:	369.359
Length  221/17, alignment  9/ 0, fail:	376.175
Length  221/17, alignment  9/ 3, found:	377.15
Length  221/17, alignment  9/ 3, fail:	369.917
Length  221/17, alignment  9/ 9, found:	374.866
Length  221/17, alignment  9/ 9, fail:	370.618
Length  221/17, alignment  9/15, found:	377.601
Length  221/17, alignment  9/15, fail:	370.091
Length  221/17, alignment 15/ 0, found:	375.229
Length  221/17, alignment 15/ 0, fail:	377.682
Length  221/17, alignment 15/ 3, found:	369.336
Length  221/17, alignment 15/ 3, fail:	375.297
Length  221/17, alignment 15/ 9, found:	377.328
Length  221/17, alignment 15/ 9, fail:	369.402
Length  221/17, alignment 15/15, found:	382.333
Length  221/17, alignment 15/15, fail:	378.118
Length  238/17, alignment  0/ 0, found:	386.389
Length  238/17, alignment  0/ 0, fail:	395.23
Length  238/17, alignment  0/ 3, found:	393.429
Length  238/17, alignment  0/ 3, fail:	386.953
Length  238/17, alignment  0/ 9, found:	389.217
Length  238/17, alignment  0/ 9, fail:	396.447
Length  238/17, alignment  0/15, found:	386.04
Length  238/17, alignment  0/15, fail:	395.433
Length  238/17, alignment  3/ 0, found:	397.46
Length  238/17, alignment  3/ 0, fail:	403.853
Length  238/17, alignment  3/ 3, found:	418.147
Length  238/17, alignment  3/ 3, fail:	424.283
Length  238/17, alignment  3/ 9, found:	388.051
Length  238/17, alignment  3/ 9, fail:	446.258
Length  238/17, alignment  3/15, found:	395.308
Length  238/17, alignment  3/15, fail:	389.571
Length  238/17, alignment  9/ 0, found:	392.575
Length  238/17, alignment  9/ 0, fail:	396.136
Length  238/17, alignment  9/ 3, found:	385.94
Length  238/17, alignment  9/ 3, fail:	405.391
Length  238/17, alignment  9/ 9, found:	392.419
Length  238/17, alignment  9/ 9, fail:	387.059
Length  238/17, alignment  9/15, found:	391.526
Length  238/17, alignment  9/15, fail:	391.44
Length  238/17, alignment 15/ 0, found:	385.78
Length  238/17, alignment 15/ 0, fail:	391.476
Length  238/17, alignment 15/ 3, found:	393.705
Length  238/17, alignment 15/ 3, fail:	389.257
Length  238/17, alignment 15/ 9, found:	394.476
Length  238/17, alignment 15/ 9, fail:	391.312
Length  238/17, alignment 15/15, found:	385.971
Length  238/17, alignment 15/15, fail:	393.312
Length  255/17, alignment  0/ 0, found:	410.354
Length  255/17, alignment  0/ 0, fail:	402.893
Length  255/17, alignment  0/ 3, found:	408.793
Length  255/17, alignment  0/ 3, fail:	410.279
Length  255/17, alignment  0/ 9, found:	401.799
Length  255/17, alignment  0/ 9, fail:	408.24
Length  255/17, alignment  0/15, found:	414.207
Length  255/17, alignment  0/15, fail:	409.878
Length  255/17, alignment  3/ 0, found:	423.118
Length  255/17, alignment  3/ 0, fail:	414.254
Length  255/17, alignment  3/ 3, found:	404.014
Length  255/17, alignment  3/ 3, fail:	410.426
Length  255/17, alignment  3/ 9, found:	419.663
Length  255/17, alignment  3/ 9, fail:	405.322
Length  255/17, alignment  3/15, found:	413.042
Length  255/17, alignment  3/15, fail:	412.899
Length  255/17, alignment  9/ 0, found:	405.141
Length  255/17, alignment  9/ 0, fail:	410.356
Length  255/17, alignment  9/ 3, found:	412.729
Length  255/17, alignment  9/ 3, fail:	404.402
Length  255/17, alignment  9/ 9, found:	411.258
Length  255/17, alignment  9/ 9, fail:	412.603
Length  255/17, alignment  9/15, found:	424.928
Length  255/17, alignment  9/15, fail:	414.096
Length  255/17, alignment 15/ 0, found:	416.341
Length  255/17, alignment 15/ 0, fail:	402.154
Length  255/17, alignment 15/ 3, found:	408.12
Length  255/17, alignment 15/ 3, fail:	411.869
Length  255/17, alignment 15/ 9, found:	412.188
Length  255/17, alignment 15/ 9, fail:	401.803
Length  255/17, alignment 15/15, found:	411.298
Length  255/17, alignment 15/15, fail:	409.282
Length   36/18, alignment  0/ 0, found:	204.823
Length   36/18, alignment  0/ 0, fail:	194.908
Length   36/18, alignment  0/ 3, found:	198.476
Length   36/18, alignment  0/ 3, fail:	188.618
Length   36/18, alignment  0/ 9, found:	187.774
Length   36/18, alignment  0/ 9, fail:	196.905
Length   36/18, alignment  0/15, found:	186.271
Length   36/18, alignment  0/15, fail:	187.465
Length   36/18, alignment  3/ 0, found:	195.067
Length   36/18, alignment  3/ 0, fail:	188.233
Length   36/18, alignment  3/ 3, found:	186.486
Length   36/18, alignment  3/ 3, fail:	187.292
Length   36/18, alignment  3/ 9, found:	193.17
Length   36/18, alignment  3/ 9, fail:	187.818
Length   36/18, alignment  3/15, found:	192.673
Length   36/18, alignment  3/15, fail:	187.875
Length   36/18, alignment  9/ 0, found:	188.359
Length   36/18, alignment  9/ 0, fail:	184.612
Length   36/18, alignment  9/ 3, found:	193.745
Length   36/18, alignment  9/ 3, fail:	188.022
Length   36/18, alignment  9/ 9, found:	195.11
Length   36/18, alignment  9/ 9, fail:	187.354
Length   36/18, alignment  9/15, found:	186.29
Length   36/18, alignment  9/15, fail:	188.257
Length   36/18, alignment 15/ 0, found:	194.967
Length   36/18, alignment 15/ 0, fail:	188.129
Length   36/18, alignment 15/ 3, found:	194.947
Length   36/18, alignment 15/ 3, fail:	188.215
Length   36/18, alignment 15/ 9, found:	188.589
Length   36/18, alignment 15/ 9, fail:	187.856
Length   36/18, alignment 15/15, found:	194.691
Length   36/18, alignment 15/15, fail:	187.354
Length   54/18, alignment  0/ 0, found:	203.807
Length   54/18, alignment  0/ 0, fail:	213.989
Length   54/18, alignment  0/ 3, found:	205.088
Length   54/18, alignment  0/ 3, fail:	206.986
Length   54/18, alignment  0/ 9, found:	214.149
Length   54/18, alignment  0/ 9, fail:	206.083
Length   54/18, alignment  0/15, found:	213.136
Length   54/18, alignment  0/15, fail:	206.573
Length   54/18, alignment  3/ 0, found:	203.928
Length   54/18, alignment  3/ 0, fail:	207.796
Length   54/18, alignment  3/ 3, found:	214.21
Length   54/18, alignment  3/ 3, fail:	226.359
Length   54/18, alignment  3/ 9, found:	219.632
Length   54/18, alignment  3/ 9, fail:	205.241
Length   54/18, alignment  3/15, found:	205.796
Length   54/18, alignment  3/15, fail:	215.908
Length   54/18, alignment  9/ 0, found:	206.419
Length   54/18, alignment  9/ 0, fail:	216.478
Length   54/18, alignment  9/ 3, found:	204.79
Length   54/18, alignment  9/ 3, fail:	204.567
Length   54/18, alignment  9/ 9, found:	203.149
Length   54/18, alignment  9/ 9, fail:	215.37
Length   54/18, alignment  9/15, found:	207.269
Length   54/18, alignment  9/15, fail:	217.863
Length   54/18, alignment 15/ 0, found:	205.899
Length   54/18, alignment 15/ 0, fail:	205.608
Length   54/18, alignment 15/ 3, found:	205.964
Length   54/18, alignment 15/ 3, fail:	211.131
Length   54/18, alignment 15/ 9, found:	207.504
Length   54/18, alignment 15/ 9, fail:	213.206
Length   54/18, alignment 15/15, found:	203.969
Length   54/18, alignment 15/15, fail:	204.873
Length   72/18, alignment  0/ 0, found:	242.309
Length   72/18, alignment  0/ 0, fail:	225.739
Length   72/18, alignment  0/ 3, found:	234.408
Length   72/18, alignment  0/ 3, fail:	224.92
Length   72/18, alignment  0/ 9, found:	224.806
Length   72/18, alignment  0/ 9, fail:	232.823
Length   72/18, alignment  0/15, found:	225.319
Length   72/18, alignment  0/15, fail:	236.718
Length   72/18, alignment  3/ 0, found:	225.521
Length   72/18, alignment  3/ 0, fail:	224.754
Length   72/18, alignment  3/ 3, found:	224.778
Length   72/18, alignment  3/ 3, fail:	231.689
Length   72/18, alignment  3/ 9, found:	224.986
Length   72/18, alignment  3/ 9, fail:	232.532
Length   72/18, alignment  3/15, found:	241.35
Length   72/18, alignment  3/15, fail:	225.588
Length   72/18, alignment  9/ 0, found:	237.667
Length   72/18, alignment  9/ 0, fail:	225.802
Length   72/18, alignment  9/ 3, found:	237.109
Length   72/18, alignment  9/ 3, fail:	230.5
Length   72/18, alignment  9/ 9, found:	240.891
Length   72/18, alignment  9/ 9, fail:	243.195
Length   72/18, alignment  9/15, found:	231.475
Length   72/18, alignment  9/15, fail:	251.592
Length   72/18, alignment 15/ 0, found:	231.209
Length   72/18, alignment 15/ 0, fail:	227.541
Length   72/18, alignment 15/ 3, found:	249.366
Length   72/18, alignment 15/ 3, fail:	235.899
Length   72/18, alignment 15/ 9, found:	226.357
Length   72/18, alignment 15/ 9, fail:	225.516
Length   72/18, alignment 15/15, found:	228.314
Length   72/18, alignment 15/15, fail:	232.714
Length   90/18, alignment  0/ 0, found:	238.082
Length   90/18, alignment  0/ 0, fail:	246.198
Length   90/18, alignment  0/ 3, found:	236.267
Length   90/18, alignment  0/ 3, fail:	239.729
Length   90/18, alignment  0/ 9, found:	249.62
Length   90/18, alignment  0/ 9, fail:	237.773
Length   90/18, alignment  0/15, found:	236.295
Length   90/18, alignment  0/15, fail:	239.05
Length   90/18, alignment  3/ 0, found:	234.371
Length   90/18, alignment  3/ 0, fail:	247.411
Length   90/18, alignment  3/ 3, found:	246.108
Length   90/18, alignment  3/ 3, fail:	237.449
Length   90/18, alignment  3/ 9, found:	239.725
Length   90/18, alignment  3/ 9, fail:	246.058
Length   90/18, alignment  3/15, found:	243.312
Length   90/18, alignment  3/15, fail:	247.908
Length   90/18, alignment  9/ 0, found:	236.707
Length   90/18, alignment  9/ 0, fail:	238.841
Length   90/18, alignment  9/ 3, found:	244.105
Length   90/18, alignment  9/ 3, fail:	241.304
Length   90/18, alignment  9/ 9, found:	244.004
Length   90/18, alignment  9/ 9, fail:	241.594
Length   90/18, alignment  9/15, found:	237.104
Length   90/18, alignment  9/15, fail:	246.719
Length   90/18, alignment 15/ 0, found:	237.682
Length   90/18, alignment 15/ 0, fail:	246.208
Length   90/18, alignment 15/ 3, found:	236.917
Length   90/18, alignment 15/ 3, fail:	238.99
Length   90/18, alignment 15/ 9, found:	243.833
Length   90/18, alignment 15/ 9, fail:	239.734
Length   90/18, alignment 15/15, found:	250.886
Length   90/18, alignment 15/15, fail:	235.241
Length  108/18, alignment  0/ 0, found:	253.085
Length  108/18, alignment  0/ 0, fail:	268.708
Length  108/18, alignment  0/ 3, found:	264.135
Length  108/18, alignment  0/ 3, fail:	270.065
Length  108/18, alignment  0/ 9, found:	262.649
Length  108/18, alignment  0/ 9, fail:	262.238
Length  108/18, alignment  0/15, found:	270.649
Length  108/18, alignment  0/15, fail:	269.368
Length  108/18, alignment  3/ 0, found:	261.738
Length  108/18, alignment  3/ 0, fail:	261.917
Length  108/18, alignment  3/ 3, found:	268.854
Length  108/18, alignment  3/ 3, fail:	262.457
Length  108/18, alignment  3/ 9, found:	275.298
Length  108/18, alignment  3/ 9, fail:	260.844
Length  108/18, alignment  3/15, found:	262.078
Length  108/18, alignment  3/15, fail:	267.836
Length  108/18, alignment  9/ 0, found:	269.573
Length  108/18, alignment  9/ 0, fail:	261.342
Length  108/18, alignment  9/ 3, found:	264.538
Length  108/18, alignment  9/ 3, fail:	268.053
Length  108/18, alignment  9/ 9, found:	263.763
Length  108/18, alignment  9/ 9, fail:	269.248
Length  108/18, alignment  9/15, found:	261.18
Length  108/18, alignment  9/15, fail:	262.26
Length  108/18, alignment 15/ 0, found:	268.047
Length  108/18, alignment 15/ 0, fail:	270.518
Length  108/18, alignment 15/ 3, found:	262.55
Length  108/18, alignment 15/ 3, fail:	283.042
Length  108/18, alignment 15/ 9, found:	282.095
Length  108/18, alignment 15/ 9, fail:	263.444
Length  108/18, alignment 15/15, found:	274.1
Length  108/18, alignment 15/15, fail:	258.808
Length  126/18, alignment  0/ 0, found:	283.067
Length  126/18, alignment  0/ 0, fail:	277.024
Length  126/18, alignment  0/ 3, found:	281.383
Length  126/18, alignment  0/ 3, fail:	274.209
Length  126/18, alignment  0/ 9, found:	275.095
Length  126/18, alignment  0/ 9, fail:	300.456
Length  126/18, alignment  0/15, found:	285.778
Length  126/18, alignment  0/15, fail:	300.665
Length  126/18, alignment  3/ 0, found:	273.811
Length  126/18, alignment  3/ 0, fail:	297.51
Length  126/18, alignment  3/ 3, found:	285.271
Length  126/18, alignment  3/ 3, fail:	277.27
Length  126/18, alignment  3/ 9, found:	275.23
Length  126/18, alignment  3/ 9, fail:	289.557
Length  126/18, alignment  3/15, found:	283.56
Length  126/18, alignment  3/15, fail:	277.074
Length  126/18, alignment  9/ 0, found:	274.479
Length  126/18, alignment  9/ 0, fail:	288.034
Length  126/18, alignment  9/ 3, found:	274.089
Length  126/18, alignment  9/ 3, fail:	284.094
Length  126/18, alignment  9/ 9, found:	273.978
Length  126/18, alignment  9/ 9, fail:	282.746
Length  126/18, alignment  9/15, found:	274.659
Length  126/18, alignment  9/15, fail:	284.54
Length  126/18, alignment 15/ 0, found:	273.598
Length  126/18, alignment 15/ 0, fail:	276.79
Length  126/18, alignment 15/ 3, found:	284.833
Length  126/18, alignment 15/ 3, fail:	285.52
Length  126/18, alignment 15/ 9, found:	275.319
Length  126/18, alignment 15/ 9, fail:	275.009
Length  126/18, alignment 15/15, found:	282.621
Length  126/18, alignment 15/15, fail:	275.991
Length  144/18, alignment  0/ 0, found:	307.924
Length  144/18, alignment  0/ 0, fail:	299.294
Length  144/18, alignment  0/ 3, found:	306.013
Length  144/18, alignment  0/ 3, fail:	309.639
Length  144/18, alignment  0/ 9, found:	300.367
Length  144/18, alignment  0/ 9, fail:	299.768
Length  144/18, alignment  0/15, found:	304.56
Length  144/18, alignment  0/15, fail:	312.097
Length  144/18, alignment  3/ 0, found:	298.959
Length  144/18, alignment  3/ 0, fail:	298.995
Length  144/18, alignment  3/ 3, found:	313.062
Length  144/18, alignment  3/ 3, fail:	308.744
Length  144/18, alignment  3/ 9, found:	299.023
Length  144/18, alignment  3/ 9, fail:	299.785
Length  144/18, alignment  3/15, found:	307.349
Length  144/18, alignment  3/15, fail:	307.849
Length  144/18, alignment  9/ 0, found:	298.955
Length  144/18, alignment  9/ 0, fail:	301.081
Length  144/18, alignment  9/ 3, found:	312.129
Length  144/18, alignment  9/ 3, fail:	308.312
Length  144/18, alignment  9/ 9, found:	299.862
Length  144/18, alignment  9/ 9, fail:	299.521
Length  144/18, alignment  9/15, found:	305.315
Length  144/18, alignment  9/15, fail:	307.896
Length  144/18, alignment 15/ 0, found:	299.299
Length  144/18, alignment 15/ 0, fail:	305.972
Length  144/18, alignment 15/ 3, found:	298.953
Length  144/18, alignment 15/ 3, fail:	310.236
Length  144/18, alignment 15/ 9, found:	298.725
Length  144/18, alignment 15/ 9, fail:	310.849
Length  144/18, alignment 15/15, found:	299.681
Length  144/18, alignment 15/15, fail:	321.791
Length  162/18, alignment  0/ 0, found:	311.767
Length  162/18, alignment  0/ 0, fail:	342.94
Length  162/18, alignment  0/ 3, found:	309.001
Length  162/18, alignment  0/ 3, fail:	326.001
Length  162/18, alignment  0/ 9, found:	308.609
Length  162/18, alignment  0/ 9, fail:	319.839
Length  162/18, alignment  0/15, found:	318.853
Length  162/18, alignment  0/15, fail:	312.393
Length  162/18, alignment  3/ 0, found:	309.434
Length  162/18, alignment  3/ 0, fail:	343.744
Length  162/18, alignment  3/ 3, found:	322.862
Length  162/18, alignment  3/ 3, fail:	311.193
Length  162/18, alignment  3/ 9, found:	320.288
Length  162/18, alignment  3/ 9, fail:	311.825
Length  162/18, alignment  3/15, found:	319.658
Length  162/18, alignment  3/15, fail:	312.586
Length  162/18, alignment  9/ 0, found:	320.274
Length  162/18, alignment  9/ 0, fail:	313.938
Length  162/18, alignment  9/ 3, found:	321.064
Length  162/18, alignment  9/ 3, fail:	334.492
Length  162/18, alignment  9/ 9, found:	321.527
Length  162/18, alignment  9/ 9, fail:	324.837
Length  162/18, alignment  9/15, found:	309.913
Length  162/18, alignment  9/15, fail:	313.078
Length  162/18, alignment 15/ 0, found:	320.597
Length  162/18, alignment 15/ 0, fail:	322.429
Length  162/18, alignment 15/ 3, found:	311.808
Length  162/18, alignment 15/ 3, fail:	323.98
Length  162/18, alignment 15/ 9, found:	309.336
Length  162/18, alignment 15/ 9, fail:	323.18
Length  162/18, alignment 15/15, found:	310.849
Length  162/18, alignment 15/15, fail:	322.579
Length  180/18, alignment  0/ 0, found:	344.939
Length  180/18, alignment  0/ 0, fail:	336.541
Length  180/18, alignment  0/ 3, found:	335.148
Length  180/18, alignment  0/ 3, fail:	341.986
Length  180/18, alignment  0/ 9, found:	344.032
Length  180/18, alignment  0/ 9, fail:	335.744
Length  180/18, alignment  0/15, found:	344.358
Length  180/18, alignment  0/15, fail:	343.123
Length  180/18, alignment  3/ 0, found:	335.458
Length  180/18, alignment  3/ 0, fail:	336.645
Length  180/18, alignment  3/ 3, found:	341.661
Length  180/18, alignment  3/ 3, fail:	345.446
Length  180/18, alignment  3/ 9, found:	337.05
Length  180/18, alignment  3/ 9, fail:	341.688
Length  180/18, alignment  3/15, found:	350.681
Length  180/18, alignment  3/15, fail:	338.15
Length  180/18, alignment  9/ 0, found:	338.16
Length  180/18, alignment  9/ 0, fail:	341.31
Length  180/18, alignment  9/ 3, found:	345.15
Length  180/18, alignment  9/ 3, fail:	336.717
Length  180/18, alignment  9/ 9, found:	343.413
Length  180/18, alignment  9/ 9, fail:	345.491
Length  180/18, alignment  9/15, found:	337.663
Length  180/18, alignment  9/15, fail:	336.447
Length  180/18, alignment 15/ 0, found:	346.863
Length  180/18, alignment 15/ 0, fail:	346.685
Length  180/18, alignment 15/ 3, found:	336.713
Length  180/18, alignment 15/ 3, fail:	366.015
Length  180/18, alignment 15/ 9, found:	350.671
Length  180/18, alignment 15/ 9, fail:	335.374
Length  180/18, alignment 15/15, found:	335.219
Length  180/18, alignment 15/15, fail:	344.905
Length  198/18, alignment  0/ 0, found:	360.815
Length  198/18, alignment  0/ 0, fail:	348.191
Length  198/18, alignment  0/ 3, found:	353.203
Length  198/18, alignment  0/ 3, fail:	356.081
Length  198/18, alignment  0/ 9, found:	347.55
Length  198/18, alignment  0/ 9, fail:	353.272
Length  198/18, alignment  0/15, found:	346.751
Length  198/18, alignment  0/15, fail:	357.604
Length  198/18, alignment  3/ 0, found:	368.585
Length  198/18, alignment  3/ 0, fail:	361.747
Length  198/18, alignment  3/ 3, found:	362.587
Length  198/18, alignment  3/ 3, fail:	348.914
Length  198/18, alignment  3/ 9, found:	360.084
Length  198/18, alignment  3/ 9, fail:	357.432
Length  198/18, alignment  3/15, found:	359.517
Length  198/18, alignment  3/15, fail:	355.527
Length  198/18, alignment  9/ 0, found:	347.519
Length  198/18, alignment  9/ 0, fail:	375.847
Length  198/18, alignment  9/ 3, found:	346.233
Length  198/18, alignment  9/ 3, fail:	356.747
Length  198/18, alignment  9/ 9, found:	355.658
Length  198/18, alignment  9/ 9, fail:	325.385
Length  198/18, alignment  9/15, found:	352.753
Length  198/18, alignment  9/15, fail:	356.278
Length  198/18, alignment 15/ 0, found:	359.015
Length  198/18, alignment 15/ 0, fail:	346.989
Length  198/18, alignment 15/ 3, found:	355.29
Length  198/18, alignment 15/ 3, fail:	356.097
Length  198/18, alignment 15/ 9, found:	347.625
Length  198/18, alignment 15/ 9, fail:	355.596
Length  198/18, alignment 15/15, found:	359.347
Length  198/18, alignment 15/15, fail:	346.911
Length  216/18, alignment  0/ 0, found:	375.646
Length  216/18, alignment  0/ 0, fail:	373.717
Length  216/18, alignment  0/ 3, found:	370.189
Length  216/18, alignment  0/ 3, fail:	405.492
Length  216/18, alignment  0/ 9, found:	371.025
Length  216/18, alignment  0/ 9, fail:	380.399
Length  216/18, alignment  0/15, found:	370.853
Length  216/18, alignment  0/15, fail:	379.342
Length  216/18, alignment  3/ 0, found:	380.156
Length  216/18, alignment  3/ 0, fail:	371.555
Length  216/18, alignment  3/ 3, found:	379.358
Length  216/18, alignment  3/ 3, fail:	380.172
Length  216/18, alignment  3/ 9, found:	370.352
Length  216/18, alignment  3/ 9, fail:	377.607
Length  216/18, alignment  3/15, found:	378.561
Length  216/18, alignment  3/15, fail:	371.607
Length  216/18, alignment  9/ 0, found:	377.252
Length  216/18, alignment  9/ 0, fail:	381.483
Length  216/18, alignment  9/ 3, found:	371.112
Length  216/18, alignment  9/ 3, fail:	385.685
Length  216/18, alignment  9/ 9, found:	401.409
Length  216/18, alignment  9/ 9, fail:	372.025
Length  216/18, alignment  9/15, found:	380.817
Length  216/18, alignment  9/15, fail:	387.751
Length  216/18, alignment 15/ 0, found:	394.453
Length  216/18, alignment 15/ 0, fail:	405.833
Length  216/18, alignment 15/ 3, found:	379.554
Length  216/18, alignment 15/ 3, fail:	392.648
Length  216/18, alignment 15/ 9, found:	380.375
Length  216/18, alignment 15/ 9, fail:	370.789
Length  216/18, alignment 15/15, found:	387.167
Length  216/18, alignment 15/15, fail:	372.75
Length  234/18, alignment  0/ 0, found:	391.356
