                       	__stpcpy_chk	normal_stpcpy
Length   16, alignment  7/ 2:	73.7552	31.9904
Length   32, alignment  0/ 0:	97.4616	31.8851
Length   32, alignment  6/ 4:	89.0327	33.7873
Length   64, alignment  0/ 0:	122.869	32.2576
Length   64, alignment  5/ 6:	116.648	58.4881
Length  128, alignment  0/ 0:	205.804	47.8929
Length  128, alignment  4/ 0:	193.906	45.3923
Length  256, alignment  0/ 0:	351.511	51.1318
Length  256, alignment  3/ 2:	317.759	51.0154
Length  512, alignment  0/ 0:	607.29	67.6816
Length  512, alignment  2/ 4:	597.413	74.7449
Length 1024, alignment  0/ 0:	1188.64	119.457
Length 1024, alignment  1/ 6:	1151.28	107.969
Length   16, alignment  1/ 2:	74.7277	28.6407
Length   16, alignment  2/ 1:	72.815	30.4869
Length   16, alignment  1/ 1:	87.3244	29.006
Length   16, alignment  1/ 1:	87.1537	28.5819
Length   32, alignment  2/ 4:	88.9896	32.7027
Length   32, alignment  4/ 2:	86.9881	33.486
Length   32, alignment  2/ 2:	102.36	33.8018
Length   32, alignment  2/ 2:	104.936	40.9302
Length   64, alignment  3/ 6:	116.874	34.3314
Length   64, alignment  6/ 3:	113.277	34.2848
Length   64, alignment  3/ 3:	121.29	32.9448
Length   64, alignment  3/ 3:	119.12	33.0275
Length  128, alignment  4/ 0:	193.217	45.2905
Length  128, alignment  0/ 4:	203.919	47.1269
Length  128, alignment  4/ 4:	198.03	45.8883
Length  128, alignment  4/ 4:	194.948	44.7915
Length  256, alignment  5/ 2:	322.251	51.4808
Length  256, alignment  2/ 5:	328.592	52.7225
Length  256, alignment  5/ 5:	341.196	52.8735
Length  256, alignment  5/ 5:	335.793	51.4866
Length  512, alignment  6/ 4:	596.598	71.9363
Length  512, alignment  4/ 6:	599.674	71.0625
Length  512, alignment  6/ 6:	610.595	72.1952
Length  512, alignment  6/ 6:	602.715	87.4863
Length 1024, alignment  7/ 6:	1126.05	125.93
Length 1024, alignment  6/ 7:	1148.84	124.693
Length 1024, alignment  7/ 7:	1131.58	117.52
Length 1024, alignment  7/ 7:	1135.95	105.886
Length    0, alignment  0/ 0:	92.5532	7.70053
Length    0, alignment  0/ 0:	95.0216	7.8004
Length    0, alignment  0/ 0:	91.8269	7.81912
Didn't expect signal from child: got `Aborted'
