                       	strsep
Length   15/3, alignment 15/ 3, found:	87.2461
Length   15/3, alignment 15/ 3, fail:	85.3943
Length   15/3, alignment 15/ 9, found:	87.1548
Length   15/3, alignment 15/ 9, fail:	85.5688
Length   15/3, alignment 15/15, found:	87.3477
Length   15/3, alignment 15/15, fail:	85.2678
Length   18/3, alignment  0/ 0, found:	83.1003
Length   18/3, alignment  0/ 0, fail:	85.2156
Length   18/3, alignment  0/ 3, found:	83.1194
Length   18/3, alignment  0/ 3, fail:	87.9912
Length   18/3, alignment  0/ 9, found:	80.9749
Length   18/3, alignment  0/ 9, fail:	85.4414
Length   18/3, alignment  0/15, found:	82.439
Length   18/3, alignment  0/15, fail:	87.9395
Length   18/3, alignment  3/ 0, found:	80.9531
Length   18/3, alignment  3/ 0, fail:	88.1489
Length   18/3, alignment  3/ 3, found:	83.4741
Length   18/3, alignment  3/ 3, fail:	85.6711
Length   18/3, alignment  3/ 9, found:	81.0112
Length   18/3, alignment  3/ 9, fail:	87.2903
Length   18/3, alignment  3/15, found:	82.8176
Length   18/3, alignment  3/15, fail:	85.9653
Length   18/3, alignment  9/ 0, found:	83.2415
Length   18/3, alignment  9/ 0, fail:	88.2471
Length   18/3, alignment  9/ 3, found:	81.0068
Length   18/3, alignment  9/ 3, fail:	85.9011
Length   18/3, alignment  9/ 9, found:	80.9646
Length   18/3, alignment  9/ 9, fail:	87.8018
Length   18/3, alignment  9/15, found:	81.011
Length   18/3, alignment  9/15, fail:	87.4092
Length   18/3, alignment 15/ 0, found:	83.0413
Length   18/3, alignment 15/ 0, fail:	85.4885
Length   18/3, alignment 15/ 3, found:	83.8813
Length   18/3, alignment 15/ 3, fail:	85.6094
Length   18/3, alignment 15/ 9, found:	83.8994
Length   18/3, alignment 15/ 9, fail:	85.5764
Length   18/3, alignment 15/15, found:	82.7278
Length   18/3, alignment 15/15, fail:	87.8274
Length   21/3, alignment  0/ 0, found:	80.1145
Length   21/3, alignment  0/ 0, fail:	90.511
Length   21/3, alignment  0/ 3, found:	80.0989
Length   21/3, alignment  0/ 3, fail:	89.4248
Length   21/3, alignment  0/ 9, found:	80.0913
Length   21/3, alignment  0/ 9, fail:	90.3418
Length   21/3, alignment  0/15, found:	82.2307
Length   21/3, alignment  0/15, fail:	86.6836
Length   21/3, alignment  3/ 0, found:	81.9282
Length   21/3, alignment  3/ 0, fail:	88.5364
Length   21/3, alignment  3/ 3, found:	82.2141
Length   21/3, alignment  3/ 3, fail:	86.728
Length   21/3, alignment  3/ 9, found:	82.6987
Length   21/3, alignment  3/ 9, fail:	90.9937
Length   21/3, alignment  3/15, found:	80.3633
Length   21/3, alignment  3/15, fail:	88.907
Length   21/3, alignment  9/ 0, found:	80.3027
Length   21/3, alignment  9/ 0, fail:	88.9731
Length   21/3, alignment  9/ 3, found:	80.0842
Length   21/3, alignment  9/ 3, fail:	90.7197
Length   21/3, alignment  9/ 9, found:	82.7405
Length   21/3, alignment  9/ 9, fail:	86.718
Length   21/3, alignment  9/15, found:	82.1177
Length   21/3, alignment  9/15, fail:	88.5459
Length   21/3, alignment 15/ 0, found:	82.4143
Length   21/3, alignment 15/ 0, fail:	86.6599
Length   21/3, alignment 15/ 3, found:	82.4956
Length   21/3, alignment 15/ 3, fail:	88.7065
Length   21/3, alignment 15/ 9, found:	80.0928
Length   21/3, alignment 15/ 9, fail:	89.1113
Length   21/3, alignment 15/15, found:	80.3567
Length   21/3, alignment 15/15, fail:	88.5464
Length   16/4, alignment  0/ 0, found:	80.9495
Length   16/4, alignment  0/ 0, fail:	85.5684
Length   16/4, alignment  0/ 3, found:	82.8582
Length   16/4, alignment  0/ 3, fail:	83.7812
Length   16/4, alignment  0/ 9, found:	82.8562
Length   16/4, alignment  0/ 9, fail:	83.781
Length   16/4, alignment  0/15, found:	80.8628
Length   16/4, alignment  0/15, fail:	83.7844
Length   16/4, alignment  3/ 0, found:	82.8162
Length   16/4, alignment  3/ 0, fail:	85.7932
Length   16/4, alignment  3/ 3, found:	80.9229
Length   16/4, alignment  3/ 3, fail:	86.0745
Length   16/4, alignment  3/ 9, found:	80.8027
Length   16/4, alignment  3/ 9, fail:	85.8604
Length   16/4, alignment  3/15, found:	80.8008
Length   16/4, alignment  3/15, fail:	85.5742
Length   16/4, alignment  9/ 0, found:	83.3455
Length   16/4, alignment  9/ 0, fail:	83.7659
Length   16/4, alignment  9/ 3, found:	83.1697
Length   16/4, alignment  9/ 3, fail:	83.7429
Length   16/4, alignment  9/ 9, found:	82.7637
