                       	strsep
Length   68/17, alignment  3/ 3, fail:	157.765
Length   68/17, alignment  3/ 9, found:	122.036
Length   68/17, alignment  3/ 9, fail:	157.575
Length   68/17, alignment  3/15, found:	119.377
Length   68/17, alignment  3/15, fail:	160.161
Length   68/17, alignment  9/ 0, found:	119.395
Length   68/17, alignment  9/ 0, fail:	159.72
Length   68/17, alignment  9/ 3, found:	120.045
Length   68/17, alignment  9/ 3, fail:	157.427
Length   68/17, alignment  9/ 9, found:	121.785
Length   68/17, alignment  9/ 9, fail:	157.628
Length   68/17, alignment  9/15, found:	122.248
Length   68/17, alignment  9/15, fail:	158.091
Length   68/17, alignment 15/ 0, found:	121.655
Length   68/17, alignment 15/ 0, fail:	157.193
Length   68/17, alignment 15/ 3, found:	121.438
Length   68/17, alignment 15/ 3, fail:	157.568
Length   68/17, alignment 15/ 9, found:	121.482
Length   68/17, alignment 15/ 9, fail:	158.576
Length   68/17, alignment 15/15, found:	122.198
Length   68/17, alignment 15/15, fail:	155.778
Length   85/17, alignment  0/ 0, found:	132.109
Length   85/17, alignment  0/ 0, fail:	175.205
Length   85/17, alignment  0/ 3, found:	132.538
Length   85/17, alignment  0/ 3, fail:	177.188
Length   85/17, alignment  0/ 9, found:	130.946
Length   85/17, alignment  0/ 9, fail:	176.955
Length   85/17, alignment  0/15, found:	130.463
Length   85/17, alignment  0/15, fail:	176.889
Length   85/17, alignment  3/ 0, found:	130.78
Length   85/17, alignment  3/ 0, fail:	177.274
Length   85/17, alignment  3/ 3, found:	130.51
Length   85/17, alignment  3/ 3, fail:	176.911
Length   85/17, alignment  3/ 9, found:	130.589
Length   85/17, alignment  3/ 9, fail:	176.797
Length   85/17, alignment  3/15, found:	130.621
Length   85/17, alignment  3/15, fail:	177.34
Length   85/17, alignment  9/ 0, found:	130.639
Length   85/17, alignment  9/ 0, fail:	177.001
Length   85/17, alignment  9/ 3, found:	130.529
Length   85/17, alignment  9/ 3, fail:	176.898
Length   85/17, alignment  9/ 9, found:	130.777
Length   85/17, alignment  9/ 9, fail:	177.459
Length   85/17, alignment  9/15, found:	131.535
Length   85/17, alignment  9/15, fail:	176.892
Length   85/17, alignment 15/ 0, found:	131.592
Length   85/17, alignment 15/ 0, fail:	176.902
Length   85/17, alignment 15/ 3, found:	131.78
Length   85/17, alignment 15/ 3, fail:	177.278
Length   85/17, alignment 15/ 9, found:	129.01
Length   85/17, alignment 15/ 9, fail:	178.565
Length   85/17, alignment 15/15, found:	128.981
Length   85/17, alignment 15/15, fail:	178.751
Length  102/17, alignment  0/ 0, found:	139.758
Length  102/17, alignment  0/ 0, fail:	197.8
Length  102/17, alignment  0/ 3, found:	141.581
Length  102/17, alignment  0/ 3, fail:	195.55
Length  102/17, alignment  0/ 9, found:	141.662
Length  102/17, alignment  0/ 9, fail:	195.757
Length  102/17, alignment  0/15, found:	141.844
Length  102/17, alignment  0/15, fail:	195.789
Length  102/17, alignment  3/ 0, found:	144.812
Length  102/17, alignment  3/ 0, fail:	195.436
Length  102/17, alignment  3/ 3, found:	141.918
Length  102/17, alignment  3/ 3, fail:	195.536
Length  102/17, alignment  3/ 9, found:	142.206
Length  102/17, alignment  3/ 9, fail:	196.039
Length  102/17, alignment  3/15, found:	142.313
Length  102/17, alignment  3/15, fail:	197.914
Length  102/17, alignment  9/ 0, found:	139.902
Length  102/17, alignment  9/ 0, fail:	197.746
Length  102/17, alignment  9/ 3, found:	142.054
Length  102/17, alignment  9/ 3, fail:	195.74
Length  102/17, alignment  9/ 9, found:	141.885
Length  102/17, alignment  9/ 9, fail:	195.666
Length  102/17, alignment  9/15, found:	141.776
Length  102/17, alignment  9/15, fail:	197.875
Length  102/17, alignment 15/ 0, found:	142.979
Length  102/17, alignment 15/ 0, fail:	195.535
Length  102/17, alignment 15/ 3, found:	141.885
Length  102/17, alignment 15/ 3, fail:	195.503
Length  102/17, alignment 15/ 9, found:	141.895
Length  102/17, alignment 15/ 9, fail:	198.804
Length  102/17, alignment 15/15, found:	139.812
Length  102/17, alignment 15/15, fail:	197.33
Length  119/17, alignment  0/ 0, found:	150.692
Length  119/17, alignment  0/ 0, fail:	214.851
Length  119/17, alignment  0/ 3, found:	150.805
Length  119/17, alignment  0/ 3, fail:	214.881
Length  119/17, alignment  0/ 9, found:	152.975
Length  119/17, alignment  0/ 9, fail:	214.962
Length  119/17, alignment  0/15, found:	151.028
Length  119/17, alignment  0/15, fail:	216.508
Length  119/17, alignment  3/ 0, found:	149.264
Length  119/17, alignment  3/ 0, fail:	216.462
Length  119/17, alignment  3/ 3, found:	151.125
Length  119/17, alignment  3/ 3, fail:	214.537
Length  119/17, alignment  3/ 9, found:	150.704
Length  119/17, alignment  3/ 9, fail:	214.691
Length  119/17, alignment  3/15, found:	150.459
Length  119/17, alignment  3/15, fail:	214.25
Length  119/17, alignment  9/ 0, found:	150.646
Length  119/17, alignment  9/ 0, fail:	216.717
Length  119/17, alignment  9/ 3, found:	151.285
Length  119/17, alignment  9/ 3, fail:	214.622
Length  119/17, alignment  9/ 9, found:	150.468
Length  119/17, alignment  9/ 9, fail:	214.526
Length  119/17, alignment  9/15, found:	151.476
Length  119/17, alignment  9/15, fail:	214.414
Length  119/17, alignment 15/ 0, found:	151.223
Length  119/17, alignment 15/ 0, fail:	216.87
Length  119/17, alignment 15/ 3, found:	149.348
Length  119/17, alignment 15/ 3, fail:	216.196
Length  119/17, alignment 15/ 9, found:	150.691
Length  119/17, alignment 15/ 9, fail:	214.751
Length  119/17, alignment 15/15, found:	159.069
Length  119/17, alignment 15/15, fail:	214.447
Length   72/18, alignment  0/ 0, found:	125.663
Length   72/18, alignment  0/ 0, fail:	163.027
Length   72/18, alignment  0/ 3, found:	125.515
Length   72/18, alignment  0/ 3, fail:	163.633
Length   72/18, alignment  0/ 9, found:	125.726
Length   72/18, alignment  0/ 9, fail:	163.139
Length   72/18, alignment  0/15, found:	125.608
Length   72/18, alignment  0/15, fail:	162.847
Length   72/18, alignment  3/ 0, found:	126.212
Length   72/18, alignment  3/ 0, fail:	161.394
Length   72/18, alignment  3/ 3, found:	128.42
Length   72/18, alignment  3/ 3, fail:	161.141
Length   72/18, alignment  3/ 9, found:	125.642
Length   72/18, alignment  3/ 9, fail:	163.078
Length   72/18, alignment  3/15, found:	125.329
Length   72/18, alignment  3/15, fail:	163.817
Length   72/18, alignment  9/ 0, found:	125.926
Length   72/18, alignment  9/ 0, fail:	163.254
Length   72/18, alignment  9/ 3, found:	125.558
Length   72/18, alignment  9/ 3, fail:	163.565
Length   72/18, alignment  9/ 9, found:	125.392
Length   72/18, alignment  9/ 9, fail:	162.962
Length   72/18, alignment  9/15, found:	125.761
Length   72/18, alignment  9/15, fail:	163.171
Length   72/18, alignment 15/ 0, found:	125.505
Length   72/18, alignment 15/ 0, fail:	163.141
Length   72/18, alignment 15/ 3, found:	125.395
Length   72/18, alignment 15/ 3, fail:	163.132
Length   72/18, alignment 15/ 9, found:	125.993
Length   72/18, alignment 15/ 9, fail:	163.431
Length   72/18, alignment 15/15, found:	125.373
Length   72/18, alignment 15/15, fail:	163.141
Length   90/18, alignment  0/ 0, found:	134.771
Length   90/18, alignment  0/ 0, fail:	182.923
Length   90/18, alignment  0/ 3, found:	134.904
Length   90/18, alignment  0/ 3, fail:	182.894
Length   90/18, alignment  0/ 9, found:	135.54
Length   90/18, alignment  0/ 9, fail:	182.913
Length   90/18, alignment  0/15, found:	134.855
Length   90/18, alignment  0/15, fail:	182.813
Length   90/18, alignment  3/ 0, found:	134.782
Length   90/18, alignment  3/ 0, fail:	183.83
Length   90/18, alignment  3/ 3, found:	137.929
Length   90/18, alignment  3/ 3, fail:	182.556
Length   90/18, alignment  3/ 9, found:	135.154
Length   90/18, alignment  3/ 9, fail:	182.86
Length   90/18, alignment  3/15, found:	135.51
Length   90/18, alignment  3/15, fail:	183.061
Length   90/18, alignment  9/ 0, found:	135.145
Length   90/18, alignment  9/ 0, fail:	182.806
Length   90/18, alignment  9/ 3, found:	135.13
Length   90/18, alignment  9/ 3, fail:	182.618
Length   90/18, alignment  9/ 9, found:	135.355
Length   90/18, alignment  9/ 9, fail:	183.06
Length   90/18, alignment  9/15, found:	135.763
Length   90/18, alignment  9/15, fail:	185.125
Length   90/18, alignment 15/ 0, found:	133.274
Length   90/18, alignment 15/ 0, fail:	184.839
Length   90/18, alignment 15/ 3, found:	133.106
Length   90/18, alignment 15/ 3, fail:	185.193
Length   90/18, alignment 15/ 9, found:	133.343
Length   90/18, alignment 15/ 9, fail:	184.466
Length   90/18, alignment 15/15, found:	134.843
Length   90/18, alignment 15/15, fail:	182.788
Length  108/18, alignment  0/ 0, found:	145.167
Length  108/18, alignment  0/ 0, fail:	249.292
Length  108/18, alignment  0/ 3, found:	146.732
Length  108/18, alignment  0/ 3, fail:	245.764
Length  108/18, alignment  0/ 9, found:	145.11
Length  108/18, alignment  0/ 9, fail:	226.408
Length  108/18, alignment  0/15, found:	145.137
Length  108/18, alignment  0/15, fail:	227.834
Length  108/18, alignment  3/ 0, found:	144.415
Length  108/18, alignment  3/ 0, fail:	232.097
Length  108/18, alignment  3/ 3, found:	145.86
Length  108/18, alignment  3/ 3, fail:	230.647
Length  108/18, alignment  3/ 9, found:	144.892
Length  108/18, alignment  3/ 9, fail:	227.039
Length  108/18, alignment  3/15, found:	144.66
Length  108/18, alignment  3/15, fail:	230.67
Length  108/18, alignment  9/ 0, found:	145.165
Length  108/18, alignment  9/ 0, fail:	224.863
Length  108/18, alignment  9/ 3, found:	145.439
Length  108/18, alignment  9/ 3, fail:	231.456
Length  108/18, alignment  9/ 9, found:	144.809
Length  108/18, alignment  9/ 9, fail:	229.165
Length  108/18, alignment  9/15, found:	143.006
Length  108/18, alignment  9/15, fail:	231.569
Length  108/18, alignment 15/ 0, found:	144.618
Length  108/18, alignment 15/ 0, fail:	232.084
Length  108/18, alignment 15/ 3, found:	145.581
Length  108/18, alignment 15/ 3, fail:	228.04
Length  108/18, alignment 15/ 9, found:	144.932
Length  108/18, alignment 15/ 9, fail:	230.56
Length  108/18, alignment 15/15, found:	144.613
Length  108/18, alignment 15/15, fail:	228.592
Length  126/18, alignment  0/ 0, found:	157.4
Length  126/18, alignment  0/ 0, fail:	224.216
Length  126/18, alignment  0/ 3, found:	157.591
Length  126/18, alignment  0/ 3, fail:	222.711
Length  126/18, alignment  0/ 9, found:	157.308
Length  126/18, alignment  0/ 9, fail:	225.903
Length  126/18, alignment  0/15, found:	156.747
Length  126/18, alignment  0/15, fail:	222.947
Length  126/18, alignment  3/ 0, found:	156.999
Length  126/18, alignment  3/ 0, fail:	223.04
Length  126/18, alignment  3/ 3, found:	157.131
Length  126/18, alignment  3/ 3, fail:	224.364
Length  126/18, alignment  3/ 9, found:	154.958
Length  126/18, alignment  3/ 9, fail:	224.542
Length  126/18, alignment  3/15, found:	158.247
Length  126/18, alignment  3/15, fail:	222.889
Length  126/18, alignment  9/ 0, found:	164.931
Length  126/18, alignment  9/ 0, fail:	222.74
Length  126/18, alignment  9/ 3, found:	157.423
Length  126/18, alignment  9/ 3, fail:	225.406
Length  126/18, alignment  9/ 9, found:	157.955
Length  126/18, alignment  9/ 9, fail:	222.814
Length  126/18, alignment  9/15, found:	156.918
Length  126/18, alignment  9/15, fail:	224.242
Length  126/18, alignment 15/ 0, found:	157.612
Length  126/18, alignment 15/ 0, fail:	222.86
Length  126/18, alignment 15/ 3, found:	157.302
Length  126/18, alignment 15/ 3, fail:	225.133
Length  126/18, alignment 15/ 9, found:	156.848
Length  126/18, alignment 15/ 9, fail:	222.735
Length  126/18, alignment 15/15, found:	159.56
Length  126/18, alignment 15/15, fail:	222.684
Length   76/19, alignment  0/ 0, found:	130.795
Length   76/19, alignment  0/ 0, fail:	169.887
Length   76/19, alignment  0/ 3, found:	130.643
Length   76/19, alignment  0/ 3, fail:	169.992
Length   76/19, alignment  0/ 9, found:	130.991
Length   76/19, alignment  0/ 9, fail:	169.963
Length   76/19, alignment  0/15, found:	131.258
Length   76/19, alignment  0/15, fail:	170.162
Length   76/19, alignment  3/ 0, found:	130.928
Length   76/19, alignment  3/ 0, fail:	169.821
Length   76/19, alignment  3/ 3, found:	131.041
Length   76/19, alignment  3/ 3, fail:	170.419
Length   76/19, alignment  3/ 9, found:	130.97
Length   76/19, alignment  3/ 9, fail:	170.135
Length   76/19, alignment  3/15, found:	130.598
Length   76/19, alignment  3/15, fail:	169.991
Length   76/19, alignment  9/ 0, found:	131.335
Length   76/19, alignment  9/ 0, fail:	170.357
Length   76/19, alignment  9/ 3, found:	131.134
Length   76/19, alignment  9/ 3, fail:	170.175
Length   76/19, alignment  9/ 9, found:	130.862
Length   76/19, alignment  9/ 9, fail:	170.174
Length   76/19, alignment  9/15, found:	131.121
Length   76/19, alignment  9/15, fail:	171.114
Length   76/19, alignment 15/ 0, found:	131.771
Length   76/19, alignment 15/ 0, fail:	170.072
Length   76/19, alignment 15/ 3, found:	131.672
Length   76/19, alignment 15/ 3, fail:	170.119
Length   76/19, alignment 15/ 9, found:	131.824
Length   76/19, alignment 15/ 9, fail:	170.442
Length   76/19, alignment 15/15, found:	131.584
Length   76/19, alignment 15/15, fail:	170.106
Length   95/19, alignment  0/ 0, found:	140.797
Length   95/19, alignment  0/ 0, fail:	194.179
Length   95/19, alignment  0/ 3, found:	137.772
Length   95/19, alignment  0/ 3, fail:	193.65
Length   95/19, alignment  0/ 9, found:	138.867
Length   95/19, alignment  0/ 9, fail:	193
Length   95/19, alignment  0/15, found:	140.024
Length   95/19, alignment  0/15, fail:	192.011
Length   95/19, alignment  3/ 0, found:	140.29
Length   95/19, alignment  3/ 0, fail:	191.567
Length   95/19, alignment  3/ 3, found:	140.142
Length   95/19, alignment  3/ 3, fail:	191.579
Length   95/19, alignment  3/ 9, found:	142.708
Length   95/19, alignment  3/ 9, fail:	191.894
Length   95/19, alignment  3/15, found:	140.344
Length   95/19, alignment  3/15, fail:	191.217
Length   95/19, alignment  9/ 0, found:	140.107
Length   95/19, alignment  9/ 0, fail:	191.213
Length   95/19, alignment  9/ 3, found:	140.254
Length   95/19, alignment  9/ 3, fail:	194.554
Length   95/19, alignment  9/ 9, found:	138.205
Length   95/19, alignment  9/ 9, fail:	194.105
Length   95/19, alignment  9/15, found:	138.622
Length   95/19, alignment  9/15, fail:	193.331
Length   95/19, alignment 15/ 0, found:	140.946
Length   95/19, alignment 15/ 0, fail:	191.885
Length   95/19, alignment 15/ 3, found:	140.134
Length   95/19, alignment 15/ 3, fail:	191.742
Length   95/19, alignment 15/ 9, found:	139.702
Length   95/19, alignment 15/ 9, fail:	191.577
Length   95/19, alignment 15/15, found:	142.767
Length   95/19, alignment 15/15, fail:	191.851
Length  114/19, alignment  0/ 0, found:	150.832
Length  114/19, alignment  0/ 0, fail:	212.072
Length  114/19, alignment  0/ 3, found:	150.98
Length  114/19, alignment  0/ 3, fail:	215.033
Length  114/19, alignment  0/ 9, found:	150.979
Length  114/19, alignment  0/ 9, fail:	215.608
Length  114/19, alignment  0/15, found:	150.351
Length  114/19, alignment  0/15, fail:	215.484
Length  114/19, alignment  3/ 0, found:	153.196
Length  114/19, alignment  3/ 0, fail:	212.594
Length  114/19, alignment  3/ 3, found:	150.807
Length  114/19, alignment  3/ 3, fail:	213.923
Length  114/19, alignment  3/ 9, found:	149.023
Length  114/19, alignment  3/ 9, fail:	214.424
Length  114/19, alignment  3/15, found:	151.074
Length  114/19, alignment  3/15, fail:	215.043
Length  114/19, alignment  9/ 0, found:	150.39
Length  114/19, alignment  9/ 0, fail:	213.755
Length  114/19, alignment  9/ 3, found:	151.23
Length  114/19, alignment  9/ 3, fail:	215.162
Length  114/19, alignment  9/ 9, found:	150.937
Length  114/19, alignment  9/ 9, fail:	214.72
Length  114/19, alignment  9/15, found:	148.988
Length  114/19, alignment  9/15, fail:	213.785
Length  114/19, alignment 15/ 0, found:	150.641
Length  114/19, alignment 15/ 0, fail:	212.718
Length  114/19, alignment 15/ 3, found:	152.935
Length  114/19, alignment 15/ 3, fail:	212.248
Length  114/19, alignment 15/ 9, found:	150.917
Length  114/19, alignment 15/ 9, fail:	213.103
Length  114/19, alignment 15/15, found:	150.998
Length  114/19, alignment 15/15, fail:	214.308
Length  133/19, alignment  0/ 0, found:	160.121
Length  133/19, alignment  0/ 0, fail:	234.233
Length  133/19, alignment  0/ 3, found:	162.256
Length  133/19, alignment  0/ 3, fail:	233.812
Length  133/19, alignment  0/ 9, found:	161.636
Length  133/19, alignment  0/ 9, fail:	236.315
Length  133/19, alignment  0/15, found:	160.38
Length  133/19, alignment  0/15, fail:	233.804
Length  133/19, alignment  3/ 0, found:	160.372
Length  133/19, alignment  3/ 0, fail:	234.504
Length  133/19, alignment  3/ 3, found:	161.032
Length  133/19, alignment  3/ 3, fail:	235.538
Length  133/19, alignment  3/ 9, found:	161.285
Length  133/19, alignment  3/ 9, fail:	244.399
Length  133/19, alignment  3/15, found:	163.934
Length  133/19, alignment  3/15, fail:	234.781
Length  133/19, alignment  9/ 0, found:	161.144
Length  133/19, alignment  9/ 0, fail:	235.366
Length  133/19, alignment  9/ 3, found:	160.491
Length  133/19, alignment  9/ 3, fail:	233.951
Length  133/19, alignment  9/ 9, found:	160.76
Length  133/19, alignment  9/ 9, fail:	236.24
Length  133/19, alignment  9/15, found:	160.93
Length  133/19, alignment  9/15, fail:	235.558
Length  133/19, alignment 15/ 0, found:	160.689
Length  133/19, alignment 15/ 0, fail:	235.089
Length  133/19, alignment 15/ 3, found:	161.397
Length  133/19, alignment 15/ 3, fail:	236.088
Length  133/19, alignment 15/ 9, found:	161.51
Length  133/19, alignment 15/ 9, fail:	235.686
Length  133/19, alignment 15/15, found:	159.103
Length  133/19, alignment 15/15, fail:	235.936
Length   80/20, alignment  0/ 0, found:	132.913
Length   80/20, alignment  0/ 0, fail:	174.925
Length   80/20, alignment  0/ 3, found:	132.926
Length   80/20, alignment  0/ 3, fail:	174.732
Length   80/20, alignment  0/ 9, found:	132.511
Length   80/20, alignment  0/ 9, fail:	175.553
Length   80/20, alignment  0/15, found:	133.573
Length   80/20, alignment  0/15, fail:	175.841
Length   80/20, alignment  3/ 0, found:	132.852
Length   80/20, alignment  3/ 0, fail:	175.133
Length   80/20, alignment  3/ 3, found:	132.913
Length   80/20, alignment  3/ 3, fail:	175.472
Length   80/20, alignment  3/ 9, found:	134.739
Length   80/20, alignment  3/ 9, fail:	172.889
Length   80/20, alignment  3/15, found:	134.647
Length   80/20, alignment  3/15, fail:	174.827
Length   80/20, alignment  9/ 0, found:	133.166
Length   80/20, alignment  9/ 0, fail:	175.208
Length   80/20, alignment  9/ 3, found:	133.309
Length   80/20, alignment  9/ 3, fail:	174.612
Length   80/20, alignment  9/ 9, found:	132.886
Length   80/20, alignment  9/ 9, fail:	174.885
Length   80/20, alignment  9/15, found:	133.415
Length   80/20, alignment  9/15, fail:	175.165
Length   80/20, alignment 15/ 0, found:	133.282
Length   80/20, alignment 15/ 0, fail:	174.575
Length   80/20, alignment 15/ 3, found:	133.135
Length   80/20, alignment 15/ 3, fail:	174.63
Length   80/20, alignment 15/ 9, found:	133.257
Length   80/20, alignment 15/ 9, fail:	175.024
Length   80/20, alignment 15/15, found:	133.264
Length   80/20, alignment 15/15, fail:	174.847
Length  100/20, alignment  0/ 0, found:	143.706
Length  100/20, alignment  0/ 0, fail:	199.796
Length  100/20, alignment  0/ 3, found:	141.533
Length  100/20, alignment  0/ 3, fail:	199.222
Length  100/20, alignment  0/ 9, found:	142.921
Length  100/20, alignment  0/ 9, fail:	197.013
Length  100/20, alignment  0/15, found:	143.291
Length  100/20, alignment  0/15, fail:	197.256
Length  100/20, alignment  3/ 0, found:	143.334
Length  100/20, alignment  3/ 0, fail:	197.488
Length  100/20, alignment  3/ 3, found:	146.529
Length  100/20, alignment  3/ 3, fail:	196.639
Length  100/20, alignment  3/ 9, found:	143.561
Length  100/20, alignment  3/ 9, fail:	196.814
Length  100/20, alignment  3/15, found:	143.846
Length  100/20, alignment  3/15, fail:	197.124
Length  100/20, alignment  9/ 0, found:	141.95
Length  100/20, alignment  9/ 0, fail:	198.63
Length  100/20, alignment  9/ 3, found:	143.135
Length  100/20, alignment  9/ 3, fail:	198.138
Length  100/20, alignment  9/ 9, found:	143.78
Length  100/20, alignment  9/ 9, fail:	197.455
Length  100/20, alignment  9/15, found:	143.256
Length  100/20, alignment  9/15, fail:	196.985
Length  100/20, alignment 15/ 0, found:	145.606
Length  100/20, alignment 15/ 0, fail:	197.18
Length  100/20, alignment 15/ 3, found:	143.533
Length  100/20, alignment 15/ 3, fail:	196.893
Length  100/20, alignment 15/ 9, found:	143.778
Length  100/20, alignment 15/ 9, fail:	196.942
Length  100/20, alignment 15/15, found:	144
Length  100/20, alignment 15/15, fail:	200.215
Length  120/20, alignment  0/ 0, found:	154.776
Length  120/20, alignment  0/ 0, fail:	220.147
Length  120/20, alignment  0/ 3, found:	154.182
Length  120/20, alignment  0/ 3, fail:	222.517
Length  120/20, alignment  0/ 9, found:	154.194
Length  120/20, alignment  0/ 9, fail:	219.539
Length  120/20, alignment  0/15, found:	154.306
Length  120/20, alignment  0/15, fail:	222.245
Length  120/20, alignment  3/ 0, found:	154.578
Length  120/20, alignment  3/ 0, fail:	219.63
Length  120/20, alignment  3/ 3, found:	154.514
Length  120/20, alignment  3/ 3, fail:	221.364
Length  120/20, alignment  3/ 9, found:	154.799
Length  120/20, alignment  3/ 9, fail:	219.746
Length  120/20, alignment  3/15, found:	154.208
Length  120/20, alignment  3/15, fail:	221.765
Length  120/20, alignment  9/ 0, found:	153.974
Length  120/20, alignment  9/ 0, fail:	219.543
Length  120/20, alignment  9/ 3, found:	153.742
Length  120/20, alignment  9/ 3, fail:	221.605
Length  120/20, alignment  9/ 9, found:	154.675
Length  120/20, alignment  9/ 9, fail:	219.271
Length  120/20, alignment  9/15, found:	154.054
Length  120/20, alignment  9/15, fail:	221.313
Length  120/20, alignment 15/ 0, found:	154.042
Length  120/20, alignment 15/ 0, fail:	219.84
Length  120/20, alignment 15/ 3, found:	154.551
Length  120/20, alignment 15/ 3, fail:	221.408
Length  120/20, alignment 15/ 9, found:	154.679
Length  120/20, alignment 15/ 9, fail:	219.19
Length  120/20, alignment 15/15, found:	154.392
Length  120/20, alignment 15/15, fail:	222.203
Length  140/20, alignment  0/ 0, found:	166.062
Length  140/20, alignment  0/ 0, fail:	241.744
Length  140/20, alignment  0/ 3, found:	167.109
Length  140/20, alignment  0/ 3, fail:	242.311
Length  140/20, alignment  0/ 9, found:	165.689
Length  140/20, alignment  0/ 9, fail:	244.395
Length  140/20, alignment  0/15, found:	165.363
Length  140/20, alignment  0/15, fail:	241.784
Length  140/20, alignment  3/ 0, found:	168.049
Length  140/20, alignment  3/ 0, fail:	241.385
Length  140/20, alignment  3/ 3, found:	165.681
Length  140/20, alignment  3/ 3, fail:	243.463
Length  140/20, alignment  3/ 9, found:	165.531
Length  140/20, alignment  3/ 9, fail:	243.938
Length  140/20, alignment  3/15, found:	166.332
Length  140/20, alignment  3/15, fail:	243.566
Length  140/20, alignment  9/ 0, found:	163.887
Length  140/20, alignment  9/ 0, fail:	241.829
Length  140/20, alignment  9/ 3, found:	166.003
Length  140/20, alignment  9/ 3, fail:	243.142
Length  140/20, alignment  9/ 9, found:	165.544
Length  140/20, alignment  9/ 9, fail:	243.316
Length  140/20, alignment  9/15, found:	165.227
Length  140/20, alignment  9/15, fail:	241.836
Length  140/20, alignment 15/ 0, found:	168.459
Length  140/20, alignment 15/ 0, fail:	241.75
Length  140/20, alignment 15/ 3, found:	166.314
Length  140/20, alignment 15/ 3, fail:	243.607
Length  140/20, alignment 15/ 9, found:	166.08
Length  140/20, alignment 15/ 9, fail:	241.952
Length  140/20, alignment 15/15, found:	168.437
Length  140/20, alignment 15/15, fail:	241.498
Length   84/21, alignment  0/ 0, found:	136.161
Length   84/21, alignment  0/ 0, fail:	182.14
Length   84/21, alignment  0/ 3, found:	134.276
Length   84/21, alignment  0/ 3, fail:	182.492
Length   84/21, alignment  0/ 9, found:	134.32
Length   84/21, alignment  0/ 9, fail:	182.193
Length   84/21, alignment  0/15, found:	134.512
Length   84/21, alignment  0/15, fail:	182.649
Length   84/21, alignment  3/ 0, found:	136.608
Length   84/21, alignment  3/ 0, fail:	180.73
Length   84/21, alignment  3/ 3, found:	135.927
Length   84/21, alignment  3/ 3, fail:	180.613
Length   84/21, alignment  3/ 9, found:	135.974
Length   84/21, alignment  3/ 9, fail:	180.75
Length   84/21, alignment  3/15, found:	135.613
Length   84/21, alignment  3/15, fail:	180.556
Length   84/21, alignment  9/ 0, found:	135.788
Length   84/21, alignment  9/ 0, fail:	180.638
Length   84/21, alignment  9/ 3, found:	135.685
Length   84/21, alignment  9/ 3, fail:	180.476
Length   84/21, alignment  9/ 9, found:	137.923
Length   84/21, alignment  9/ 9, fail:	180.442
Length   84/21, alignment  9/15, found:	135.996
Length   84/21, alignment  9/15, fail:	180.394
Length   84/21, alignment 15/ 0, found:	136.119
Length   84/21, alignment 15/ 0, fail:	179.996
Length   84/21, alignment 15/ 3, found:	135.838
Length   84/21, alignment 15/ 3, fail:	180.396
Length   84/21, alignment 15/ 9, found:	136.07
Length   84/21, alignment 15/ 9, fail:	180.003
Length   84/21, alignment 15/15, found:	135.924
Length   84/21, alignment 15/15, fail:	180.639
Length  105/21, alignment  0/ 0, found:	147.411
Length  105/21, alignment  0/ 0, fail:	207.023
Length  105/21, alignment  0/ 3, found:	144.94
Length  105/21, alignment  0/ 3, fail:	205.926
Length  105/21, alignment  0/ 9, found:	146.688
Length  105/21, alignment  0/ 9, fail:	204.338
Length  105/21, alignment  0/15, found:	147.071
Length  105/21, alignment  0/15, fail:	205.862
Length  105/21, alignment  3/ 0, found:	147.417
Length  105/21, alignment  3/ 0, fail:	204.237
Length  105/21, alignment  3/ 3, found:	147.384
Length  105/21, alignment  3/ 3, fail:	204.514
Length  105/21, alignment  3/ 9, found:	146.775
Length  105/21, alignment  3/ 9, fail:	206.013
Length  105/21, alignment  3/15, found:	146.628
Length  105/21, alignment  3/15, fail:	204.365
Length  105/21, alignment  9/ 0, found:	147.27
Length  105/21, alignment  9/ 0, fail:	204.543
Length  105/21, alignment  9/ 3, found:	147.047
Length  105/21, alignment  9/ 3, fail:	205.686
Length  105/21, alignment  9/ 9, found:	146.851
Length  105/21, alignment  9/ 9, fail:	204.407
Length  105/21, alignment  9/15, found:	151.457
Length  105/21, alignment  9/15, fail:	211.937
Length  105/21, alignment 15/ 0, found:	144.936
Length  105/21, alignment 15/ 0, fail:	206.27
Length  105/21, alignment 15/ 3, found:	146.492
Length  105/21, alignment 15/ 3, fail:	204.402
Length  105/21, alignment 15/ 9, found:	146.659
Length  105/21, alignment 15/ 9, fail:	204.214
Length  105/21, alignment 15/15, found:	150.096
Length  105/21, alignment 15/15, fail:	204.088
Length  126/21, alignment  0/ 0, found:	160.689
Length  126/21, alignment  0/ 0, fail:	228.95
Length  126/21, alignment  0/ 3, found:	158.616
Length  126/21, alignment  0/ 3, fail:	228.927
Length  126/21, alignment  0/ 9, found:	160.899
Length  126/21, alignment  0/ 9, fail:	228.669
Length  126/21, alignment  0/15, found:	162.009
Length  126/21, alignment  0/15, fail:	227.071
Length  126/21, alignment  3/ 0, found:	161.024
Length  126/21, alignment  3/ 0, fail:	228.48
Length  126/21, alignment  3/ 3, found:	160.269
Length  126/21, alignment  3/ 3, fail:	227.042
Length  126/21, alignment  3/ 9, found:	162.347
Length  126/21, alignment  3/ 9, fail:	227.204
Length  126/21, alignment  3/15, found:	160.647
Length  126/21, alignment  3/15, fail:	228.712
Length  126/21, alignment  9/ 0, found:	160.272
Length  126/21, alignment  9/ 0, fail:	226.967
