                       	__strcpy_chk	normal_strcpy
Length   15, alignment  0/ 7:	75.8024	23.5059
Length   15, alignment  7/ 0:	75.2695	24.8357
Length   16, alignment  0/ 0:	82.5893	29.044
Length   16, alignment  7/ 2:	79.0675	32.8951
Length   32, alignment  0/ 0:	96.7068	30.6665
Length   32, alignment  6/ 4:	94.1465	34.5929
Length   64, alignment  0/ 0:	120.973	30.9738
Length   64, alignment  5/ 6:	113.048	34.4285
Length  128, alignment  0/ 0:	192.626	43.2748
Length  128, alignment  4/ 0:	194.141	47.0506
Length  256, alignment  0/ 0:	326.063	50.6771
Length  256, alignment  3/ 2:	317.153	50.9608
Length  512, alignment  0/ 0:	592.048	69.5767
Length  512, alignment  2/ 4:	599.464	71.5969
Length 1024, alignment  0/ 0:	1129.54	107.431
Length 1024, alignment  1/ 6:	1151.79	109.105
Length   16, alignment  1/ 2:	79.3962	28.8574
Length   16, alignment  2/ 1:	79.8318	30.3022
Length   16, alignment  1/ 1:	91.2041	28.8819
Length   16, alignment  1/ 1:	91.0522	28.9927
Length   32, alignment  2/ 4:	95.0818	33.1631
Length   32, alignment  4/ 2:	90.8729	34.3373
Length   32, alignment  2/ 2:	100.804	33.7499
Length   32, alignment  2/ 2:	100.894	33.8246
Length   64, alignment  3/ 6:	114.032	34.1299
Length   64, alignment  6/ 3:	116.668	34.5657
Length   64, alignment  3/ 3:	123.062	32.3139
Length   64, alignment  3/ 3:	124.238	32.1369
Length  128, alignment  4/ 0:	194.971	46.7115
Length  128, alignment  0/ 4:	193.978	43.0814
Length  128, alignment  4/ 4:	192.926	48.3443
Length  128, alignment  4/ 4:	192.926	48.6331
Length  256, alignment  5/ 2:	320.305	52.0702
Length  256, alignment  2/ 5:	327.858	52.5891
Length  256, alignment  5/ 5:	334.653	51.9651
Length  256, alignment  5/ 5:	335.196	51.7725
Length  512, alignment  6/ 4:	590.94	72.7891
Length  512, alignment  4/ 6:	601.467	71.9642
Length  512, alignment  6/ 6:	599.788	71.543
Length  512, alignment  6/ 6:	599.215	71.7199
Length 1024, alignment  7/ 6:	1123.13	109.024
Length 1024, alignment  6/ 7:	1147.14	110.853
Length 1024, alignment  7/ 7:	1131.64	109.207
Length 1024, alignment  7/ 7:	1127.81	110.41
Length    0, alignment  0/ 0:	95.2817	7.83113
Length    0, alignment  0/ 0:	95.0249	7.61076
Length    0, alignment  0/ 0:	94.9947	7.73537
Didn't expect signal from child: got `Aborted'
